"TVS_MOTORS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
02-MAR-15,271.95,289.7475,294.078571428571428571428571428571428571
03-MAR-15,293.2,290.1275,294.058139534883720930232558139534883721
04-MAR-15,288.8,289.8525,293.938636363636363636363636363636363636
05-MAR-15,291.85,289.79,293.892222222222222222222222222222222222
09-MAR-15,286.55,289.4725,293.732608695652173913043478260869565217
10-MAR-15,294.9,289.495,293.757446808510638297872340425531914894
11-MAR-15,285.4,289.0225,293.583333333333333333333333333333333333
12-MAR-15,289.75,288.45,293.505102040816326530612244897959183673
13-MAR-15,277.65,287.085,293.188
16-MAR-15,274.15,285.42,293.134
17-MAR-15,283.25,284.4625,293.443
18-MAR-15,278.75,283.3375,293.594
19-MAR-15,273,282.245,293.694
20-MAR-15,268.4,280.9,293.491
23-MAR-15,266.2,279.74,292.899
24-MAR-15,259.7,279.235,292.159
25-MAR-15,259.1,278.6375,291.328
26-MAR-15,266.05,278.415,290.48
27-MAR-15,271.55,277.9075,289.761
30-MAR-15,266.25,277.3225,288.782
31-MAR-15,263.75,276.9125,287.669
01-APR-15,255.15,275.01,286.595
06-APR-15,252.2,273.18,285.458
07-APR-15,255.4,271.3575,284.549
08-APR-15,251.15,269.5875,283.559
09-APR-15,250.7,267.3775,282.45
10-APR-15,256.75,265.945,281.422
13-APR-15,255.15,264.215,280.285
15-APR-15,251.4,262.9025,279.11
16-APR-15,244.65,261.4275,277.84
17-APR-15,244.6,259.495,277.007
20-APR-15,233.75,257.245,275.97
21-APR-15,237.6,255.475,274.836
22-APR-15,237.95,253.9525,273.733
23-APR-15,232.9,252.2875,272.533
24-APR-15,232.1,250.9075,271.286
27-APR-15,228.25,249.365,269.954
28-APR-15,227.55,247.44,268.481
29-APR-15,237.35,245.73,267.129
30-APR-15,235.6,244.1975,265.692
04-MAY-15,249.35,243.4775,264.631
05-MAY-15,240.4,242.74,263.414
06-MAY-15,226,241.43,262.037
07-MAY-15,216.15,239.4675,260.454
08-MAY-15,220.85,237.9525,259.083
11-MAY-15,227.2,236.7775,258.231
12-MAY-15,222.45,235.0625,257.259
13-MAY-15,219.8,233.295,256.245
14-MAY-15,224.15,231.9325,255.094
15-MAY-15,221.4,230.77,253.963
18-MAY-15,224.15,229.7475,253.007
19-MAY-15,222,229.16,251.583
20-MAY-15,220.2,228.29,250.211
21-MAY-15,229.95,227.89,248.973
22-MAY-15,227.35,227.6125,247.789
25-MAY-15,230.15,227.515,246.494
26-MAY-15,234.8,227.8425,245.482
27-MAY-15,235.95,228.2625,244.406
28-MAY-15,236.1,228.2,243.575
29-MAY-15,237.95,228.3175,242.851
01-JUN-15,236,227.65,241.906
02-JUN-15,225.9,226.925,240.849
03-JUN-15,221.4,226.695,239.817
04-JUN-15,226.55,227.215,238.98
05-JUN-15,223.5,227.3475,238.126
08-JUN-15,219.1,226.9425,237.314
09-JUN-15,218.8,226.76,236.508
10-JUN-15,224,226.97,235.667
11-JUN-15,226.5,227.0875,234.766
12-JUN-15,225.1,227.2725,233.943
15-JUN-15,228.15,227.4725,233.231
16-JUN-15,228.45,227.795,232.697
